balance_account,purchases_amount,paid_advance,full_purchases,balance_frequency_update,installments,purchases_frequency,full_purchases_frequency,purchases_installments_frequency,cash_advance_frequency,nr_cash_advances,nr_purchases,credit_limit,fixed_rate_period,payments,min_payments,full_payment_prc,Outlier_CBLOF,Outlier_IF,KMeans_label,labels_hierarchical_3c,labels_hierarchical_9c,PowTrUMAT,PCA1,PCA2,PCA3
9.298409,107.6,0.0,0.0,0.909091,107.6,0.909091,0.0,0.818182,0.0,0.0,10.0,1000.0,11.0,89.868853,89.711672,0.428571,0,0,2,0,1,4,-0.0006305223216353248,-8.714580490021545,6.4366541020254955
52.666422,150.3,0.0,0.0,1.0,150.3,1.0,0.0,0.833333,0.0,0.0,6.0,1000.0,6.0,54.722514,82.95518,0.0,0,0,2,0,1,4,-0.000808219018075856,-6.90919502793924,10.087003715197934
1360.795674,0.0,462.861443,0.0,1.0,0.0,0.0,0.0,0.0,0.272727,6.0,0.0,1500.0,11.0,303.031979,443.781316,0.0,0,0,2,0,1,4,-0.0011707209394712734,4.338501032062848,2.230523987721433
2021.641161,363.18,0.0,363.18,1.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,2000.0,12.0,704.24077,795.859808,0.0,0,0,2,0,1,1,-8.819863637011541e-05,-4.741164253376955,2.741709078922071
22.322374,95.0,1162.045833,95.0,0.363636,0.0,0.083333,0.083333,0.0,0.166667,3.0,1.0,2500.0,12.0,4094.261427,40.142262,0.0,0,0,2,0,1,5,-0.0010524512901061065,1.6421972370137923,-7.073982970300878
9266.08054,100.0,4383.296268,0.0,1.0,100.0,0.333333,0.0,0.25,0.166667,3.0,4.0,17500.0,12.0,2444.123547,2603.406476,0.0,0,0,1,1,3,2,0.0010522910753689241,17.053835146475073,-5.36555953659738
97.389327,60.0,0.0,60.0,1.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,12500.0,12.0,453.421982,204.88001,0.0,0,0,2,1,7,2,-0.0001220447468269111,2.2373952401398074,-14.719872287351413
4788.283283,0.0,437.8085860000001,0.0,1.0,0.0,0.0,0.0,0.0,0.166667,2.0,0.0,5000.0,12.0,823.840717,1934.821741,0.0,0,0,2,0,4,3,-0.0007054405519654301,5.877996260592447,-1.2702068610089563
319.037744,1262.28,0.0,1262.28,0.818182,0.0,0.25,0.25,0.0,0.0,0.0,6.0,10500.0,12.0,1350.541585,218.810614,0.125,0,0,2,1,7,2,0.0002364977896354999,0.195083375748103,-16.230293805855837
1641.251218,0.0,2990.165538,0.0,0.727273,0.0,0.0,0.0,0.0,0.166667,4.0,0.0,3000.0,12.0,4399.723425,500.276155,0.1428569999999999,0,0,2,0,1,5,-0.0008590425917888587,5.596173750733163,-3.354637595983855
179.35720600000002,497.15,0.0,497.15,1.0,0.0,0.416667,0.416667,0.0,0.0,0.0,6.0,1200.0,12.0,291.121154,180.093054,0.0,0,0,2,0,1,1,-0.0007556131541747725,-3.6786616091039224,0.18865252985808692
639.73038,951.05,0.0,785.05,1.0,166.0,0.5,0.5,0.083333,0.0,0.0,8.0,2600.0,12.0,693.3028929999999,227.955037,0.0,0,0,2,0,1,1,-0.0004423339523779907,-3.827653888907574,0.2386001904221749
7499.658084000001,160.0,3603.787202,160.0,1.0,0.0,0.166667,0.166667,0.0,0.166667,3.0,2.0,13550.0,12.0,1962.972636,1849.313897,0.0,0,0,1,1,3,2,0.0006966462926853633,14.918800360137231,-6.993250308583835
303.054817,894.4,0.0,609.4,0.636364,285.0,0.636364,0.363636,0.454545,0.0,0.0,12.0,4000.0,11.0,183.620398,128.25155,0.0,0,0,2,0,1,4,-0.00045847424172155494,-5.817195877095148,-0.4529793252469721
3516.835582,4019.73,0.0,1932.75,1.0,2086.98,0.916667,0.916667,1.0,0.0,0.0,73.0,12000.0,12.0,3376.57379,910.942173,0.0,0,0,0,1,7,2,0.003133998808094959,-3.9472113715609316,-1.7081134423089388
179.882212,828.0,0.0,0.0,1.0,828.0,1.0,0.0,1.0,0.0,0.0,12.0,1000.0,12.0,649.951462,152.775223,0.3,0,0,2,0,1,5,-0.0002648275569203243,-9.430221154359717,9.47948990241317
2739.711796,847.66,1201.188255,765.8,1.0,81.86,1.0,1.0,0.583333,0.083333,1.0,20.0,7500.0,12.0,3273.326636,718.558976,0.0,0,0,0,0,8,6,0.001347471812610979,-1.2188888258471209,-0.5819980211684747
1361.815512,1309.72,814.086208,1106.81,1.0,202.91,0.916667,0.75,0.916667,0.75,9.0,53.0,1700.0,12.0,1668.192483,585.993296,0.0,0,0,0,0,1,6,0.0010717752577020694,3.181901359083846,15.03415663731612
1630.620638,0.0,381.541722,0.0,1.0,0.0,0.0,0.0,0.0,0.166667,2.0,0.0,2100.0,12.0,1117.714796,459.78287300000005,0.0,0,0,2,0,1,7,-0.0010737430733862195,2.6284281222822217,0.33045334065829135
1200.937942,0.0,1981.157622,0.0,0.833333,0.0,0.0,0.0,0.0,0.5,4.0,0.0,2000.0,6.0,152.10636100000002,200.106261,0.0,0,0,1,0,1,4,-0.0010964521835145876,8.213480279401848,3.0256106134343357
251.273637,1861.74,0.0,1861.74,0.272727,0.0,0.25,0.25,0.0,0.0,0.0,31.0,3000.0,12.0,195.73661,273.119363,0.0,0,0,2,0,1,5,-0.0005719709070213093,-4.599794884874288,-8.239881720418515
4202.1695,462.0,4776.10477,462.0,1.0,0.0,0.166667,0.166667,0.0,0.416667,10.0,2.0,8000.0,12.0,1010.799168,1541.756326,0.0,0,0,1,0,4,6,-2.702071866102526e-06,14.17789500601543,0.5423649532283241
486.661842,1898.88,0.0,939.09,0.833333,959.79,0.833333,0.666667,0.666667,0.0,0.0,24.0,1200.0,6.0,669.0396400000001,336.880119,0.5,0,0,2,0,1,4,6.500341491520521e-05,-9.66658904126862,5.190088354746434
1647.932117,0.0,93.690441,0.0,1.0,0.0,0.0,0.0,0.0,0.333333,4.0,0.0,1800.0,12.0,390.2023,717.310059,0.0,0,0,2,0,1,7,-0.0011160657017218226,4.341742535303952,2.0395871196551476
463.07144000000005,1817.84,0.0,1817.84,1.0,0.0,0.333333,0.333333,0.0,0.0,0.0,4.0,6000.0,12.0,0.0,216.207006,0.0,0,0,2,0,8,3,-0.0001809997305108816,-2.758342708383586,-8.422463960832609
293.118363,368.91,683.536421,0.0,1.0,368.91,0.75,0.0,0.75,0.166667,3.0,18.0,1800.0,12.0,1309.489418,195.953485,0.166667,0,0,2,0,1,1,-0.00041679332984907806,-3.809200273431212,8.095485266263948
1191.662907,979.92,0.0,849.92,1.0,130.0,0.75,0.416667,0.416667,0.0,0.0,18.0,4350.0,12.0,278.328435,470.064242,0.0,0,0,2,0,1,1,-0.00014848403305761009,-4.936891399346048,3.1589607183029993
28.329892,292.59,0.0,292.59,1.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,5000.0,12.0,0.0,106.0955462,0.0,0,0,2,0,8,3,6.652909467228791e-05,-6.2029440688551425,-4.583803431253745
140.120632,644.16,0.0,0.0,1.0,644.16,0.916667,0.0,0.833333,0.0,0.0,11.0,1500.0,12.0,399.905138,163.128265,0.0,0,0,2,0,1,1,-0.0004387292524158663,-7.486109293474897,8.60142230023366
0.0,240.1,0.0,0.0,0.0,240.1,0.583333,0.0,0.583333,0.0,0.0,7.0,2500.0,12.0,0.0,125.5291168,0.0,0,0,2,0,1,5,-0.001037526627917782,-6.774337374608621,-4.7777113218388525
41.386295,194.57,0.0,194.57,0.363636,0.0,0.166667,0.166667,0.0,0.0,0.0,2.0,2200.0,12.0,470.431305,169.999931,0.0,0,0,2,0,1,5,-0.0011956314940829752,-3.111225206582716,-7.1459997489294445
888.101401,100.0,896.5789900000001,0.0,1.0,100.0,0.2222219999999999,0.0,0.1111109999999999,0.1111109999999999,2.0,2.0,1000.0,9.0,212.755352,527.241583,0.0,0,0,2,0,1,4,-0.0011387101756975895,0.6918020302741631,3.2165999039382998
1827.647786,596.64,449.505151,0.0,1.0,596.64,1.0,0.0,1.0,0.083333,4.0,12.0,2000.0,12.0,911.09047,867.5382710000001,0.0,0,0,2,0,1,1,-0.00020602235526579724,-4.281180067847564,11.615213957700929
41.461969,550.08,0.0,0.0,0.272727,550.08,0.25,0.0,0.166667,0.0,0.0,4.0,6000.0,12.0,1104.875573,168.561947,1.0,0,0,2,0,8,3,-0.0005552453839286016,-6.825528628692653,-15.570716415497913
10.386311,171.6,0.0,0.0,0.818182,171.6,1.0,0.0,1.0,0.0,0.0,12.0,4000.0,12.0,168.370514,82.263245,0.454545,0,0,2,0,8,3,-0.00018356065776637182,-9.6017850623719,0.3004928728422604
1667.8517880000002,0.0,5133.373227,0.0,0.9,0.0,0.0,0.0,0.0,0.6,13.0,0.0,3000.0,10.0,2822.457351,471.885081,0.125,0,0,1,0,1,4,-0.0006346233755735339,14.931786646451402,3.7678070401440236
